epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1568.62,0.55461,0.59195,0.94221,0.92862,0.91297,0.94953,0.74825,0.80067,0.55286,0.96619,2.3969e-05,2.3969e-05,2.3969e-05
81,1611.56,0.5673,0.59765,0.94606,0.92109,0.91208,0.9494,0.7652,0.73441,0.54467,0.9476,2.288e-05,2.288e-05,2.288e-05
82,1654.43,0.54379,0.583,0.93387,0.92237,0.90725,0.94275,0.76746,0.72355,0.54118,0.94474,2.1791e-05,2.1791e-05,2.1791e-05
83,1695.53,0.56031,0.58648,0.93731,0.91758,0.92213,0.94718,0.76412,0.7464,0.54112,0.9514,2.0702e-05,2.0702e-05,2.0702e-05
84,1738.53,0.54932,0.59114,0.93845,0.91202,0.94483,0.94921,0.74788,0.78395,0.54204,0.95403,1.9613e-05,1.9613e-05,1.9613e-05
85,1778.27,0.55375,0.58125,0.95487,0.89589,0.94426,0.95215,0.7703,0.72352,0.53298,0.94101,1.8524e-05,1.8524e-05,1.8524e-05
86,1821,0.54474,0.57768,0.92356,0.89788,0.95219,0.95136,0.77219,0.71231,0.53179,0.9392,1.7435e-05,1.7435e-05,1.7435e-05
87,1863.04,0.53976,0.57771,0.92728,0.90076,0.94008,0.94934,0.77179,0.71816,0.5309,0.93984,1.6346e-05,1.6346e-05,1.6346e-05
88,1904.8,0.54493,0.57394,0.92083,0.88986,0.94097,0.95089,0.77388,0.72343,0.52565,0.93841,1.5257e-05,1.5257e-05,1.5257e-05
89,1945.85,0.52998,0.57816,0.92858,0.89908,0.94128,0.95378,0.76406,0.74679,0.52884,0.94991,1.4168e-05,1.4168e-05,1.4168e-05
90,1988.47,0.54502,0.57768,0.94187,0.90198,0.94441,0.9556,0.77713,0.71501,0.52069,0.93994,1.3079e-05,1.3079e-05,1.3079e-05
91,2030.52,0.53181,0.57016,0.92967,0.9018,0.94875,0.95237,0.77096,0.73255,0.52999,0.94255,1.199e-05,1.199e-05,1.199e-05
92,2070.38,0.53123,0.56934,0.93121,0.90738,0.95053,0.9517,0.77176,0.72779,0.5316,0.94269,1.0901e-05,1.0901e-05,1.0901e-05
93,2114.03,0.52711,0.56204,0.93084,0.91215,0.95022,0.9522,0.77084,0.73315,0.52764,0.94384,9.812e-06,9.812e-06,9.812e-06
94,2151.91,0.53344,0.56363,0.91817,0.90103,0.95429,0.95642,0.77553,0.71659,0.52548,0.9411,8.723e-06,8.723e-06,8.723e-06
95,2192.01,0.55537,0.56652,0.95292,0.90115,0.94607,0.95407,0.77208,0.72418,0.52845,0.94567,7.634e-06,7.634e-06,7.634e-06
96,2216.87,0.51532,0.57288,0.92323,0.89979,0.95429,0.95647,0.77745,0.71262,0.52364,0.94396,6.545e-06,6.545e-06,6.545e-06
97,2234.67,0.5386,0.56132,0.92843,0.89737,0.95168,0.95646,0.77402,0.72472,0.52443,0.94707,5.456e-06,5.456e-06,5.456e-06
