label,s
yolo_detection,0.023920
yolo_detection,0.021978
yolo_detection,0.021787
yolo_detection,0.022040
yolo_detection,0.023865
yolo_detection,0.020675
yolo_detection,0.020854
yolo_detection,0.021881
yolo_detection,0.021749
yolo_detection,0.025459
yolo_detection,0.021938
yolo_detection,0.021106
yolo_detection,0.021610
yolo_detection,0.021768
yolo_detection,0.024201
yolo_detection,0.023452
yolo_detection,0.023587
yolo_detection,0.023121
yolo_detection,0.022831
yolo_detection,0.021165
yolo_detection,0.021287
yolo_detection,0.021518
yolo_detection,0.022080
yolo_detection,0.022143
yolo_detection,0.022170
yolo_detection,0.022432
yolo_detection,0.024233
yolo_detection,0.023905
yolo_detection,0.021875
yolo_detection,0.021618
yolo_detection,0.021529
yolo_detection,0.022425
yolo_detection,0.022226
yolo_detection,0.022134
yolo_detection,0.022602
yolo_detection,0.024274
yolo_detection,0.021873
yolo_detection,0.022032
yolo_detection,0.024098
yolo_detection,0.023358
yolo_detection,0.022268
yolo_detection,0.024775
yolo_detection,0.021041
yolo_detection,0.021216
yolo_detection,0.021503
yolo_detection,0.021628
yolo_detection,0.024492
yolo_detection,0.022115
yolo_detection,0.023813
yolo_detection,0.023863
yolo_detection,0.021477
yolo_detection,0.021746
yolo_detection,0.022032
yolo_detection,0.023136
yolo_detection,0.023449
yolo_detection,0.025766
yolo_detection,0.025303
yolo_detection,0.023123
yolo_detection,0.022821
yolo_detection,0.023024
yolo_detection,0.021274
yolo_detection,0.023978
yolo_detection,0.023228
yolo_detection,0.024839
yolo_detection,0.021606
yolo_detection,0.022241
yolo_detection,0.042865
yolo_detection,0.025753
yolo_detection,0.022892
yolo_detection,0.042653
yolo_detection,0.022949
yolo_detection,0.021636
yolo_detection,0.034224
yolo_detection,0.021965
yolo_detection,0.021884
yolo_detection,0.021694
yolo_detection,0.022983
yolo_detection,0.023768
yolo_detection,0.021272
yolo_detection,0.021164
yolo_detection,0.023617
yolo_detection,0.023518
yolo_detection,0.023772
yolo_detection,0.024351
yolo_detection,0.020696
yolo_detection,0.023191
yolo_detection,0.020619
yolo_detection,0.022780
yolo_detection,0.022315
yolo_detection,0.022224
yolo_detection,0.023247
yolo_detection,0.023129
yolo_detection,0.020929
yolo_detection,0.020373
yolo_detection,0.020356
yolo_detection,0.020643
yolo_detection,0.037039
yolo_detection,0.037098
yolo_detection,0.033529
yolo_detection,0.040778
yolo_detection,0.022637
yolo_detection,0.024103
yolo_detection,0.021929
yolo_detection,0.043881
yolo_detection,0.039677
yolo_detection,0.041000
yolo_detection,0.043070
yolo_detection,0.052501
yolo_detection,0.050207
yolo_detection,0.028836
yolo_detection,0.024140
yolo_detection,0.036933
yolo_detection,0.024566
yolo_detection,0.021019
yolo_detection,0.021052
yolo_detection,0.021531
yolo_detection,0.019721
yolo_detection,0.022192
yolo_detection,0.022734
yolo_detection,0.028529
yolo_detection,0.019679
yolo_detection,0.017838
yolo_detection,0.019343
yolo_detection,0.019701
yolo_detection,0.019413
yolo_detection,0.019375
yolo_detection,0.019941
yolo_detection,0.019598
yolo_detection,0.019927
yolo_detection,0.017848
yolo_detection,0.019482
yolo_detection,0.019762
yolo_detection,0.017893
yolo_detection,0.019595
yolo_detection,0.020603
yolo_detection,0.021818
yolo_detection,0.019548
yolo_detection,0.020746
yolo_detection,0.022012
yolo_detection,0.021203
yolo_detection,0.021104
yolo_detection,0.021935
yolo_detection,0.024302
yolo_detection,0.024109
yolo_detection,0.018052
yolo_detection,0.019315
yolo_detection,0.019925
yolo_detection,0.019369
yolo_detection,0.019357
yolo_detection,0.019485
yolo_detection,0.020091
yolo_detection,0.020461
yolo_detection,0.019839
yolo_detection,0.019579
yolo_detection,0.019363
yolo_detection,0.019359
yolo_detection,0.019329
yolo_detection,0.019351
yolo_detection,0.019379
yolo_detection,0.019386
yolo_detection,0.019419
yolo_detection,0.019456
yolo_detection,0.019405
yolo_detection,0.019445
yolo_detection,0.019524
yolo_detection,0.020062
yolo_detection,0.021166
yolo_detection,0.021554
yolo_detection,0.022425
yolo_detection,0.022119
yolo_detection,0.022186
yolo_detection,0.021298
yolo_detection,0.024191
yolo_detection,0.023852
yolo_detection,0.023216
yolo_detection,0.022578
yolo_detection,0.023502
yolo_detection,0.023954
yolo_detection,0.021250
yolo_detection,0.020860
yolo_detection,0.021141
yolo_detection,0.021808
yolo_detection,0.022287
yolo_detection,0.022440
yolo_detection,0.022278
yolo_detection,0.023172
yolo_detection,0.022715
yolo_detection,0.022440
yolo_detection,0.022550
yolo_detection,0.022456
yolo_detection,0.022251
yolo_detection,0.022577
yolo_detection,0.023052
yolo_detection,0.022790
yolo_detection,0.022787
yolo_detection,0.022996
yolo_detection,0.022870
yolo_detection,0.023094
yolo_detection,0.022638
yolo_detection,0.022871
yolo_detection,0.022748
yolo_detection,0.022567
yolo_detection,0.022482
yolo_detection,0.022770
yolo_detection,0.020738
yolo_detection,0.023040
yolo_detection,0.023286
yolo_detection,0.023274
yolo_detection,0.024377
yolo_detection,0.022919
yolo_detection,0.022849
yolo_detection,0.022692
yolo_detection,0.020816
yolo_detection,0.022859
yolo_detection,0.021131
yolo_detection,0.023670
yolo_detection,0.023332
yolo_detection,0.022880
yolo_detection,0.021239
yolo_detection,0.021318
yolo_detection,0.021898
yolo_detection,0.023518
yolo_detection,0.023647
yolo_detection,0.023588
yolo_detection,0.023943
yolo_detection,0.023704
yolo_detection,0.023719
yolo_detection,0.023976
yolo_detection,0.023760
yolo_detection,0.023514
yolo_detection,0.023953
yolo_detection,0.025497
yolo_detection,0.025333
yolo_detection,0.025667
yolo_detection,0.025508
yolo_detection,0.025199
yolo_detection,0.025685
yolo_detection,0.025436
yolo_detection,0.025200
yolo_detection,0.025833
yolo_detection,0.026020
yolo_detection,0.028203
yolo_detection,0.025453
yolo_detection,0.025105
yolo_detection,0.025350
yolo_detection,0.027090
yolo_detection,0.025094
yolo_detection,0.025004
yolo_detection,0.025400
yolo_detection,0.025269
yolo_detection,0.024899
yolo_detection,0.025274
yolo_detection,0.027305
yolo_detection,0.025047
yolo_detection,0.025290
yolo_detection,0.025292
yolo_detection,0.025454
yolo_detection,0.025276
yolo_detection,0.025217
yolo_detection,0.025445
yolo_detection,0.027041
yolo_detection,0.024905
yolo_detection,0.025190
yolo_detection,0.025037
yolo_detection,0.025119
yolo_detection,0.025152
yolo_detection,0.024970
yolo_detection,0.025108
yolo_detection,0.024956
yolo_detection,0.025003
yolo_detection,0.024981
yolo_detection,0.025006
yolo_detection,0.025302
yolo_detection,0.025452
yolo_detection,0.027183
yolo_detection,0.025038
yolo_detection,0.024727
yolo_detection,0.025089
yolo_detection,0.025006
yolo_detection,0.024831
yolo_detection,0.024878
yolo_detection,0.024788
yolo_detection,0.024912
yolo_detection,0.024890
yolo_detection,0.024820
yolo_detection,0.024878
yolo_detection,0.024869
yolo_detection,0.024998
yolo_detection,0.026905
yolo_detection,0.026699
yolo_detection,0.024860
yolo_detection,0.024855
yolo_detection,0.025076
yolo_detection,0.026697
yolo_detection,0.027127
yolo_detection,0.027086
yolo_detection,0.024773
yolo_detection,0.027119
yolo_detection,0.025032
yolo_detection,0.026521
yolo_detection,0.026940
yolo_detection,0.026792
yolo_detection,0.024657
yolo_detection,0.024960
yolo_detection,0.025289
yolo_detection,0.025662
yolo_detection,0.025214
yolo_detection,0.025529
yolo_detection,0.024739
yolo_detection,0.025724
yolo_detection,0.027281
yolo_detection,0.024968
yolo_detection,0.025214
yolo_detection,0.024973
yolo_detection,0.026806
yolo_detection,0.025028
yolo_detection,0.026898
yolo_detection,0.024819
yolo_detection,0.024907
yolo_detection,0.025323
yolo_detection,0.026710
yolo_detection,0.024944
yolo_detection,0.024961
yolo_detection,0.024828
yolo_detection,0.024927
yolo_detection,0.026885
yolo_detection,0.024973
yolo_detection,0.026842
